id,file_name,place,create_time,Leq,Pctn,陶模型判定,新模型输出,抽样,
5493,Record92540,M01,2021/11/18 17:11:07,50.0151,0.558167,3,4.6319,260,0
5551,Record92603,M01,2021/11/18 19:17:10,50.3967,0.076743,3,4.17213,261,1
6023,Record93094,M01,2021/11/19 11:39:39,55.6071,0.363415,3,3.05455,262,2
6035,Record93107,M01,2021/11/19 12:05:40,51.5943,0.449725,3,4.6319,263,3
6038,Record93110,M01,2021/11/19 12:11:41,56.3974,0.31812,3,2.76453,264,4
6059,Record93132,M01,2021/11/19 13:39:42,52.2398,0.336706,3,2.76453,265,5
6088,Record93163,M01,2021/11/19 15:43:44,53.5451,0.263634,3,4.28875,266,6
6093,Record93168,M01,2021/11/19 16:03:44,51.9636,0.153423,3,4.6319,267,7
6103,Record93178,M01,2021/11/19 16:43:45,50.4727,0.453868,3,2.60909,268,8
6316,Record93403,M01,2021/11/20 7:44:05,52.3064,0.743544,3,4.17213,269,9
6319,Record93406,M01,2021/11/20 7:56:05,51.2443,0.577318,3,2.76453,270,0
6322,Record93409,M01,2021/11/20 8:08:06,50.0002,0.727071,3,5.60246,271,1
6334,Record93422,M01,2021/11/20 9:00:08,52.2111,0.491657,3,4.3872,272,2
6343,Record93431,M01,2021/11/20 9:36:10,51.8887,0.426486,3,2.76453,273,3
6369,Record93459,M01,2021/11/20 11:28:13,51.0135,0.283864,3,2.76453,274,4
6381,Record93472,M01,2021/11/20 12:20:13,52.595,0.360245,3,2.76453,275,5
6448,Record93541,M01,2021/11/20 16:56:21,50.1717,0.165153,3,4.17213,276,6
6454,Record93547,M01,2021/11/20 17:20:22,53.2187,0.303884,3,4.3769,277,7
6460,Record93553,M01,2021/11/20 17:44:22,51.341,0.313974,3,2.76453,278,8
6546,Record93643,M01,2021/11/20 23:44:33,56.6733,0.201199,3,2.76453,279,9
6635,Record93783,M01,2021/11/21 7:30:47,50.0181,0.521228,3,4.87117,280,0
6649,Record93797,M01,2021/11/21 8:26:50,50.647,0.447091,3,4.39024,281,1
6653,Record93801,M01,2021/11/21 8:42:50,50.6241,0.360758,3,2.76453,282,2
6675,Record93826,M01,2021/11/21 10:22:53,51.6644,0.469905,3,3.37386,283,3
6676,Record93827,M01,2021/11/21 10:26:53,57.3622,0.242297,3,4.6319,284,4
6683,Record93834,M01,2021/11/21 10:54:55,62.4121,0.181792,3,2.76453,285,5
6699,Record93850,M01,2021/11/21 11:58:56,51.0082,0.47033,3,2.89344,286,6
6716,Record93867,M01,2021/11/21 13:06:58,55.7918,0.331675,3,4.6319,287,7
6739,Record93891,M01,2021/11/21 14:43:02,53.6926,0.313554,3,2.76453,288,8
6742,Record93894,M01,2021/11/21 14:55:04,53.4139,0.481166,3,2.76453,289,9
6764,Record93916,M01,2021/11/21 16:23:05,50.2896,0.438622,3,2.60909,290,0
6765,Record93917,M01,2021/11/21 16:27:05,56.5747,0.486217,3,2.76453,291,1
6778,Record93930,M01,2021/11/21 17:19:07,53.4975,0.413209,3,2.60909,292,2
6780,Record93932,M01,2021/11/21 17:27:07,59.031,0.141538,3,2.76453,293,3
6942,Record94102,M01,2021/11/22 4:47:31,50.0628,0.444841,3,6.56535,294,4
6992,Record94155,M01,2021/11/22 8:19:39,50.4432,0.433777,3,3.96024,295,5
6997,Record94160,M01,2021/11/22 8:39:42,52.9171,0.347822,3,3.9052,296,6
6998,Record94161,M01,2021/11/22 8:43:39,50.6129,0.39556,3,4.39024,297,7
6999,Record94162,M01,2021/11/22 8:47:40,50.0346,0.535997,3,4.27217,298,8
7000,Record94163,M01,2021/11/22 8:51:40,50.2161,0.27842,3,4.27217,299,9
7001,Record94164,M01,2021/11/22 8:55:40,51.9106,0.212941,3,3.93852,300,0
7002,Record94165,M01,2021/11/22 8:59:41,50.1433,0.356897,3,4.39024,301,1
7003,Record94166,M01,2021/11/22 9:05:41,51.9908,0.369473,3,3.96024,302,2
7006,Record94169,M01,2021/11/22 9:23:41,52.2238,0.533651,3,4.87117,303,3
7009,Record94172,M01,2021/11/22 9:41:41,50.5285,0.269921,3,3.93852,304,4
7011,Record94174,M01,2021/11/22 9:53:44,50.0897,0.404033,3,4.39024,305,5
7012,Record94175,M01,2021/11/22 9:59:42,50.4494,0.50427,3,4.39024,306,6
7021,Record94184,M01,2021/11/22 10:53:44,50.1858,0.411781,3,3.62705,307,7
7025,Record94188,M01,2021/11/22 11:17:45,52.3889,0.403146,3,2.76453,308,8
7028,Record94191,M01,2021/11/22 11:35:52,50.3884,0.413998,3,4.87117,309,9
